,Unnamed: 0,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord,RT_recognition,Response_recognition,Accuracy_recognition,SelectedWord_recognition,RT_certainty,Response_certainty
0,3,4,0,-0.25,unga,pazia,usiku,uhuru,95,unga,usiku,uhuru,pazia,white,white,white,white,0.0506382999010384,d,pazia,0.14985790010541677,d,0.0,unga,0.15043939976021647,0.0
1,1,4,0,-0.25,ijayo,twai,punguza,samaki,67,ijayo,twai,samaki,punguza,white,white,white,white,0.0501517001539468,d,punguza,0.15053969994187355,d,0.0,ijayo,0.15072269970551133,0.0
2,4,4,0,-0.25,dizeli,buli,ndoora,aibu,39,ndoora,buli,dizeli,aibu,white,white,white,white,0.0510444999672472,d,aibu,0.15187600022181869,d,0.0,ndoora,0.15119219990447164,0.0
3,0,2,0,-0.5,jua,baharia,mwanake,ngazi,57,baharia,mwanake,ngazi,jua,white,black,black,white,0.0506381001323461,d,ngazi,0.15103979967534542,d,0.0,baharia,0.15141250006854534,0.0
4,2,4,0,-0.25,leso,mzungu,jani,nakala,58,leso,mzungu,nakala,jani,white,white,white,white,0.0502168000675737,d,jani,0.15092620020732284,d,0.0,leso,0.1514801001176238,0.0
5,6,4,1,0.75,kidole,mamba,nyota,trekta,68,trekta,mamba,kidole,nyota,white,white,white,white,0.050473699811846,d,kidole,0.1515250001102686,d,0.0,trekta,0.15149890026077628,0.0
6,7,4,1,0.75,viatu,mkasi,mgonjwa,singizi,126,singizi,mgonjwa,mkasi,viatu,white,white,white,white,0.0500718997791409,d,viatu,0.1509478003717959,d,0.0,singizi,0.15060550021007657,0.0
7,9,2,1,0.5,skrini,bustani,mraba,mbali,64,mraba,skrini,bustani,mbali,white,white,black,black,0.0508686997927725,d,skrini,0.15030579967424273,d,0.0,mraba,0.151180200278759,0.0
8,5,4,0,-0.25,ugomvi,kijiko,washia,mdomo,112,ugomvi,washia,kijiko,mdomo,white,white,white,white,0.0504860999062657,d,washia,0.15132110007107258,d,0.0,ugomvi,0.15040899999439716,0.0
9,8,2,0,-0.5,kinywa,panya,basi,nchi,125,panya,nchi,kinywa,basi,black,white,black,white,0.0511972997337579,d,nchi,0.15140629978850484,d,0.0,panya,0.15119300037622452,0.0
10,14,2,1,0.5,adhabu,chombo,bendi,mchuzi,56,adhabu,mchuzi,bendi,chombo,black,white,white,black,0.0511978003196418,d,adhabu,0.15076419990509748,d,1.0,adhabu,0.15094400011003017,0.0
11,13,1,1,0.0,kofia,choori,chupi,umasijo,130,kofia,chupi,choori,umasijo,black,black,black,white,0.0510195000097155,d,kofia,0.15001989994198084,d,1.0,kofia,0.15143499989062548,0.0
12,12,1,1,0.0,mwezi,kuacha,ishiri,chuki,8,chuki,mwezi,kuacha,ishiri,black,black,white,black,0.0498329000547528,d,mwezi,0.15204469999298453,d,0.0,chuki,0.15135669987648726,0.0
13,11,2,0,-0.5,mahindi,afya,mkate,osha,106,mkate,mahindi,afya,osha,black,white,black,white,0.0502482000738382,d,osha,0.15149990003556013,d,0.0,mkate,0.15067359991371632,0.0
14,10,2,1,0.5,juuya,kengele,guruwe,mtirka,44,juuya,guruwe,mtirka,kengele,black,white,black,white,0.0507636996917426,d,juuya,0.14980740007013083,d,1.0,juuya,0.15044649969786406,0.0
15,15,2,0,-0.5,maisha,kumba,kifungo,kuandika,77,kumba,kuandika,kifungo,maisha,black,white,white,black,0.0506637999787926,d,kifungo,0.15035749971866608,d,0.0,kumba,0.15088240010663867,0.0
16,17,1,1,0.0,garisi,hekalu,baadaye,duka,41,duka,garisi,baadaye,hekalu,black,black,black,white,0.0502369003370404,d,garisi,0.15192299988120794,d,0.0,duka,0.1515921000391245,0.0
17,18,4,1,0.75,kaburi,fedha,kiwango,kamwe,47,kaburi,fedha,kiwango,kamwe,white,white,white,white,0.0502265999093651,d,kaburi,0.14972549956291914,d,1.0,kaburi,0.1509751002304256,0.0
18,16,2,0,-0.5,kudhibi,jikoni,chuma,daraja,18,chuma,kudhibi,jikoni,daraja,white,white,black,black,0.0511843999847769,d,jikoni,0.15134039986878633,d,0.0,chuma,0.15098549984395504,0.0
19,19,4,0,-0.25,mizizi,hazini,geza,nyasi,111,nyasi,hazini,geza,mizizi,white,white,white,white,0.0507864998653531,d,geza,0.15138980001211166,d,0.0,nyasi,0.15110760042443871,0.0
20,22,4,0,-0.25,bahari,uzio,mfuko,nanga,131,bahari,mfuko,nanga,uzio,white,white,white,white,0.0507313003763556,d,mfuko,0.15294739976525307,d,0.0,bahari,0.15200210036709905,0.0
21,20,4,1,0.75,hofu,chumvi,katika,bega,22,chumvi,katika,hofu,bega,white,white,white,white,0.050924299750477,d,hofu,0.15002250019460917,d,0.0,chumvi,0.1498445998877287,0.0
22,21,4,0,-0.25,pwani,maji,kitanda,rombus,40,rombus,kitanda,maji,pwani,white,white,white,white,0.0505580003373324,d,kitanda,0.15152959991246462,d,0.0,rombus,0.15051910001784563,0.0
23,24,4,0,-0.25,neyemba,goti,ukimya,dhoruba,24,goti,neyemba,dhoruba,ukimya,white,white,white,white,0.0510944998823106,d,dhoruba,0.15189760038629174,d,0.0,goti,0.15064510004594922,0.0
24,23,2,1,0.5,tafuta,mashua,baiski,wadudu,71,wadudu,baiski,tafuta,mashua,white,white,black,black,0.0507013997994363,d,tafuta,0.15026210015639663,d,0.0,wadudu,0.15053260000422597,0.0
25,28,2,1,0.5,kumbuka,ofisi,kelele,mapafu,123,kumbuka,kelele,ofisi,mapafu,white,white,black,black,0.0505097000859677,d,kumbuka,0.1507145999930799,d,1.0,kumbuka,0.15071710012853146,0.0
26,25,4,0,-0.25,mchezo,nopya,ukweli,mazishi,12,nopya,mchezo,ukweli,mazishi,white,white,white,white,0.0507848998531699,d,nopya,0.15034239972010255,d,1.0,nopya,0.1509864996187389,0.0
27,26,4,0,-0.25,sindano,mageho,nyeusi,kitande,84,kitande,mageho,nyeusi,sindano,white,white,white,white,0.0511308000423014,d,mageho,0.1521192998625338,d,0.0,kitande,0.15129079995676875,0.0
28,27,1,1,0.0,yake,kazi,wingi,ndege,9,ndege,wingi,kazi,yake,black,black,black,white,0.0505510000512003,d,yake,0.1519757998175919,d,0.0,ndege,0.1511693997308612,0.0
29,29,1,1,0.0,haki,funzi,bunifu,kisiwa,74,kisiwa,bunifu,haki,funzi,white,black,black,black,0.0500310999341309,d,haki,0.15143679967150092,d,0.0,kisiwa,0.15092069981619716,0.0
30,32,4,0,-0.25,sufuria,kiatu,mfupa,radi,1,mfupa,radi,sufuria,kiatu,white,white,white,white,0.0504822996445,d,mfupa,0.15058409981429577,d,1.0,mfupa,0.15043280040845275,0.0
31,31,4,0,-0.25,pigo,kahawa,sabuni,bilaska,127,sabuni,pigo,kahawa,bilaska,white,white,white,white,0.0506731998175382,d,sabuni,0.15041769994422793,d,1.0,sabuni,0.15039690025150776,0.0
32,33,4,0,-0.25,mbegu,mbuzi,suti,takatak,13,mbuzi,takatak,mbegu,suti,white,white,white,white,0.051036300137639,d,mbuzi,0.15109069971367717,d,1.0,mbuzi,0.15129899978637695,0.0
33,34,4,0,-0.25,kioo,picha,mende,ukame,61,ukame,mende,picha,kioo,white,white,white,white,0.0505916997790336,d,ukame,0.15100249974057078,d,1.0,ukame,0.15104429982602596,0.0
34,30,4,1,0.75,tumbo,matumai,akili,dari,133,akili,dari,tumbo,matumai,white,white,white,white,0.0509814000688493,d,tumbo,0.15024980017915368,d,0.0,akili,0.15209480002522469,0.0
